Location,Vehicle_Count,NO2_Emissions,Traffic_Flow_Speed,Rush_Hour_Indicator,Suggested_Route_Adjustment,Hour,Day_of_Week,Weather_Conditions_Cloudy,Weather_Conditions_Hazy,Weather_Conditions_Rainy,High_Congestion
Susan Road,304,39.34,19.333333333333336,0,Use Madina Town Bypass,1,1,False,True,False,1
Canal Road,30,20.06,65.0,0,No change needed,12,6,False,False,True,0
Ghulam Muhammad Abad,131,77.62,48.16666666666667,0,No change needed,3,6,False,False,False,0
Madina Town,68,11.58,58.666666666666664,0,No change needed,20,4,False,False,True,0
Canal Road,74,32.76,57.666666666666664,0,No change needed,4,1,False,True,False,0
Clock Tower,224,20.96,32.666666666666664,0,No change needed,15,3,True,False,False,1
Susan Road,212,18.77,34.666666666666664,0,No change needed,22,4,False,False,True,0
D Ground,114,74.35,51.0,0,No change needed,23,0,False,True,False,0
Canal Road,289,37.37,21.833333333333336,0,Use Expressway,4,5,True,False,False,1
Ghulam Muhammad Abad,394,40.98,5.0,0,Take side streets via Millat Road,21,3,False,False,False,1
Clock Tower,378,73.29,7.0,1,Use Circular Road alternative,17,2,True,False,False,1
Clock Tower,274,22.24,24.333333333333336,0,Use Circular Road alternative,12,1,True,False,False,1
Canal Road,58,38.57,60.333333333333336,1,No change needed,18,0,False,False,True,0
Clock Tower,133,29.0,47.83333333333333,0,No change needed,1,5,False,False,False,0
People's Colony,370,77.08,8.333333333333336,0,"Avoid peak hours, use Jaranwala Road",21,3,False,False,True,1
Ghulam Muhammad Abad,235,17.15,30.833333333333336,0,No change needed,14,3,False,False,False,1
Clock Tower,150,71.95,45.0,0,No change needed,20,0,True,False,False,0
Clock Tower,245,58.87,29.166666666666664,0,No change needed,23,4,True,False,False,1
Ghulam Muhammad Abad,307,37.21,18.833333333333336,0,Take side streets via Millat Road,13,1,True,False,False,1
Kohinoor City,355,59.77,10.833333333333336,0,Divert via Satyana Road,20,2,True,False,False,1
D Ground,357,68.39,10.5,0,Take small connecting roads,16,4,False,False,True,1
People's Colony,151,10.12,44.83333333333333,0,No change needed,14,0,False,False,True,0
Susan Road,322,62.12,16.333333333333336,0,Use Madina Town Bypass,4,4,False,False,True,1
Kohinoor City,244,77.11,29.333333333333336,1,No change needed,19,4,False,False,True,1
People's Colony,128,45.64,48.66666666666667,0,No change needed,1,4,False,False,True,0
Clock Tower,267,11.66,25.5,0,Use Circular Road alternative,13,6,True,False,False,1
Kohinoor City,242,53.16,29.666666666666664,0,No change needed,21,1,False,False,False,1
D Ground,249,77.17,28.5,0,No change needed,22,6,False,False,False,1
Madina Town,292,57.64,21.333333333333336,1,Use Jaranwala Bypass,17,3,True,False,False,1
Susan Road,115,35.34,50.83333333333333,0,No change needed,20,0,False,False,True,0
D Ground,86,45.89,55.666666666666664,0,No change needed,2,6,True,False,False,0
Ghulam Muhammad Abad,301,61.98,19.833333333333336,1,Take side streets via Millat Road,19,6,False,False,False,1
Madina Town,363,43.62,9.5,1,Use Jaranwala Bypass,17,3,False,True,False,1
Canal Road,134,63.1,47.66666666666667,0,No change needed,20,6,False,False,False,0
Ghulam Muhammad Abad,181,69.13,39.83333333333333,0,No change needed,3,5,False,True,False,0
D Ground,290,38.98,21.666666666666664,1,Take small connecting roads,18,3,False,True,False,1
Madina Town,63,16.63,59.5,1,No change needed,18,4,False,False,True,0
Canal Road,224,15.05,32.666666666666664,0,No change needed,20,6,True,False,False,1
Ghulam Muhammad Abad,388,36.74,5.333333333333329,0,Take side streets via Millat Road,13,4,True,False,False,1
Madina Town,280,33.96,23.333333333333336,0,Use Jaranwala Bypass,13,2,False,False,True,1
People's Colony,351,58.74,11.5,0,"Avoid peak hours, use Jaranwala Road",2,0,False,True,False,1
Ghulam Muhammad Abad,356,23.07,10.666666666666664,0,Take side streets via Millat Road,23,0,False,True,False,1
Susan Road,114,68.77,51.0,0,No change needed,1,2,False,False,True,0
Canal Road,364,12.59,9.333333333333336,0,Use Expressway,2,2,False,True,False,1
Ghulam Muhammad Abad,262,12.16,26.333333333333336,0,Take side streets via Millat Road,2,6,True,False,False,1
D Ground,51,48.76,61.5,0,No change needed,14,4,False,False,False,0
Clock Tower,213,24.2,34.5,0,No change needed,20,2,False,True,False,1
Susan Road,379,56.8,6.833333333333336,1,Use Madina Town Bypass,19,3,False,False,False,1
Kohinoor City,76,13.61,57.333333333333336,0,No change needed,2,1,False,False,False,0
Ghulam Muhammad Abad,181,12.56,39.83333333333333,1,No change needed,19,3,True,False,False,0
Susan Road,114,72.4,51.0,0,No change needed,23,3,False,True,False,0
People's Colony,267,43.38,25.5,0,"Avoid peak hours, use Jaranwala Road",1,3,False,False,False,1
Canal Road,274,14.54,24.333333333333336,0,Use Expressway,20,6,False,False,True,1
People's Colony,236,15.45,30.666666666666664,0,No change needed,23,6,False,False,False,1
Ghulam Muhammad Abad,235,72.44,30.833333333333336,1,No change needed,19,3,True,False,False,1
Susan Road,45,77.23,62.5,0,No change needed,12,4,False,True,False,0
Madina Town,275,46.78,24.166666666666664,0,Use Jaranwala Bypass,14,6,False,False,False,1
Kohinoor City,368,22.23,8.666666666666664,0,Divert via Satyana Road,15,4,False,True,False,1
Canal Road,86,57.47,55.666666666666664,0,No change needed,12,3,True,False,False,0
Clock Tower,357,58.66,10.5,0,Use Circular Road alternative,1,1,False,False,True,1
Susan Road,189,32.88,38.5,0,No change needed,14,5,False,False,False,0
Madina Town,153,17.35,44.5,0,No change needed,12,4,True,False,False,0
Clock Tower,380,19.08,6.666666666666664,0,Use Circular Road alternative,22,1,False,False,True,1
People's Colony,166,15.07,42.33333333333333,1,No change needed,17,3,True,False,False,0
Madina Town,271,24.83,24.833333333333336,0,Use Jaranwala Bypass,14,3,False,False,True,1
D Ground,218,33.21,33.666666666666664,0,No change needed,23,5,False,False,False,1
Ghulam Muhammad Abad,131,33.77,48.16666666666667,0,No change needed,0,6,False,True,False,0
Ghulam Muhammad Abad,254,51.74,27.666666666666664,0,Take side streets via Millat Road,21,2,False,False,True,1
D Ground,393,61.3,5.0,0,Take small connecting roads,3,2,False,False,False,1
Ghulam Muhammad Abad,377,49.45,7.166666666666664,0,Take side streets via Millat Road,14,0,False,False,True,1
Canal Road,324,22.04,16.0,0,Use Expressway,2,5,False,False,True,1
Canal Road,262,58.43,26.333333333333336,0,Use Expressway,21,6,False,False,True,1
Kohinoor City,335,15.28,14.166666666666664,0,Divert via Satyana Road,20,2,True,False,False,1
Canal Road,235,56.25,30.833333333333336,0,No change needed,20,5,False,False,False,1
Clock Tower,257,51.44,27.166666666666664,0,Use Circular Road alternative,23,3,True,False,False,1
Madina Town,322,46.34,16.333333333333336,0,Use Jaranwala Bypass,22,6,False,True,False,1
Kohinoor City,173,66.69,41.16666666666667,0,No change needed,16,5,True,False,False,0
Kohinoor City,43,61.23,62.833333333333336,0,No change needed,1,4,False,False,True,0
People's Colony,35,24.44,64.16666666666667,0,No change needed,21,6,False,False,False,0
D Ground,161,12.63,43.16666666666667,0,No change needed,13,0,True,False,False,0
People's Colony,122,22.14,49.66666666666667,1,No change needed,19,4,False,False,False,0
D Ground,346,79.12,12.333333333333336,1,Take small connecting roads,18,6,False,False,False,1
Kohinoor City,52,40.77,61.333333333333336,0,No change needed,1,4,False,False,True,0
Canal Road,89,42.79,55.166666666666664,0,No change needed,20,2,True,False,False,0
Madina Town,281,75.57,23.166666666666664,0,Use Jaranwala Bypass,23,4,False,True,False,1
Canal Road,396,78.05,5.0,0,Use Expressway,20,0,False,False,False,1
Canal Road,22,40.51,66.33333333333333,0,No change needed,2,0,False,False,False,0
Susan Road,71,14.47,58.166666666666664,0,No change needed,23,4,False,False,True,0
Madina Town,239,28.92,30.166666666666664,0,No change needed,2,2,False,False,True,1
Ghulam Muhammad Abad,349,64.67,11.833333333333336,0,Take side streets via Millat Road,21,6,False,True,False,1
Madina Town,200,53.33,36.666666666666664,0,No change needed,14,2,True,False,False,0
D Ground,28,38.75,65.33333333333333,1,No change needed,19,2,False,True,False,0
Clock Tower,319,69.49,16.833333333333336,1,Use Circular Road alternative,17,2,False,False,False,1
Clock Tower,108,18.75,52.0,0,No change needed,12,3,False,True,False,0
Kohinoor City,108,47.84,52.0,0,No change needed,2,5,False,True,False,0
D Ground,48,58.41,62.0,0,No change needed,0,1,False,False,False,0
Canal Road,260,35.6,26.666666666666664,0,Use Expressway,14,2,False,False,False,1
Ghulam Muhammad Abad,346,18.29,12.333333333333336,0,Take side streets via Millat Road,1,4,True,False,False,1
D Ground,138,67.03,47.0,0,No change needed,13,2,False,False,False,0
Ghulam Muhammad Abad,165,49.32,42.5,0,No change needed,15,3,True,False,False,0
Madina Town,206,70.78,35.666666666666664,0,No change needed,0,4,False,True,False,0
Susan Road,48,65.24,62.0,0,No change needed,3,5,True,False,False,0
Clock Tower,164,19.03,42.66666666666667,1,No change needed,17,2,False,False,False,0
Madina Town,115,67.48,50.83333333333333,0,No change needed,23,5,False,True,False,0
Ghulam Muhammad Abad,128,24.91,48.66666666666667,0,No change needed,20,1,True,False,False,0
Canal Road,273,53.19,24.5,0,Use Expressway,4,1,True,False,False,1
Canal Road,42,74.97,63.0,0,No change needed,14,5,True,False,False,0
Madina Town,252,45.48,28.0,0,Use Jaranwala Bypass,16,6,False,True,False,1
Susan Road,52,51.21,61.333333333333336,0,No change needed,20,0,False,False,False,0
Canal Road,335,45.24,14.166666666666664,0,Use Expressway,3,4,False,False,True,1
Canal Road,223,15.1,32.833333333333336,1,No change needed,19,4,True,False,False,1
Clock Tower,269,10.12,25.166666666666664,0,Use Circular Road alternative,15,3,False,False,True,1
Clock Tower,294,60.71,21.0,1,Use Circular Road alternative,18,3,False,False,True,1
Kohinoor City,147,69.35,45.5,0,No change needed,22,2,False,False,True,0
Madina Town,191,65.37,38.16666666666667,0,No change needed,4,2,False,False,False,0
D Ground,378,35.83,7.0,0,Take small connecting roads,14,1,False,True,False,1
Clock Tower,23,66.0,66.16666666666667,0,No change needed,3,5,False,False,True,0
People's Colony,375,13.43,7.5,0,"Avoid peak hours, use Jaranwala Road",14,0,False,False,False,1
Ghulam Muhammad Abad,233,30.79,31.166666666666664,0,No change needed,12,5,False,False,False,1
D Ground,254,33.3,27.666666666666664,0,Take small connecting roads,3,1,False,True,False,1
Kohinoor City,274,49.74,24.333333333333336,0,Divert via Satyana Road,2,4,False,False,True,1
Canal Road,330,16.38,15.0,0,Use Expressway,0,6,False,True,False,1
People's Colony,26,74.77,65.66666666666667,0,No change needed,15,2,False,False,True,0
Clock Tower,249,49.86,28.5,0,No change needed,15,0,False,True,False,1
Madina Town,360,31.85,10.0,1,Use Jaranwala Bypass,18,1,False,False,True,1
People's Colony,352,23.73,11.333333333333336,0,"Avoid peak hours, use Jaranwala Road",2,4,False,False,False,1
Susan Road,179,41.84,40.16666666666667,0,No change needed,21,6,False,False,True,0
People's Colony,28,23.27,65.33333333333333,0,No change needed,0,3,True,False,False,0
People's Colony,347,39.83,12.166666666666664,0,"Avoid peak hours, use Jaranwala Road",13,4,False,False,True,1
Canal Road,394,21.41,5.0,0,Use Expressway,23,3,False,False,True,1
Susan Road,238,45.22,30.333333333333336,0,No change needed,13,6,False,False,True,1
Ghulam Muhammad Abad,262,74.74,26.333333333333336,1,Take side streets via Millat Road,19,2,False,False,False,1
Madina Town,172,76.61,41.33333333333333,1,No change needed,18,3,True,False,False,0
Ghulam Muhammad Abad,77,12.47,57.166666666666664,1,No change needed,18,6,True,False,False,0
Madina Town,252,35.01,28.0,0,Use Jaranwala Bypass,16,2,False,True,False,1
D Ground,261,26.6,26.5,0,Take small connecting roads,4,5,False,False,False,1
D Ground,233,45.31,31.166666666666664,0,No change needed,13,5,False,True,False,1
People's Colony,329,71.22,15.166666666666664,0,"Avoid peak hours, use Jaranwala Road",23,2,False,False,True,1
Ghulam Muhammad Abad,67,74.57,58.833333333333336,0,No change needed,20,5,False,False,False,0
D Ground,193,38.87,37.833333333333336,0,No change needed,20,3,False,True,False,0
Susan Road,20,29.36,66.66666666666667,0,No change needed,2,3,True,False,False,0
Clock Tower,239,67.14,30.166666666666664,1,No change needed,18,2,False,False,False,1
Ghulam Muhammad Abad,221,19.6,33.166666666666664,0,No change needed,16,4,False,False,False,1
D Ground,302,31.01,19.666666666666664,0,Take small connecting roads,4,2,True,False,False,1
Canal Road,221,45.44,33.166666666666664,0,No change needed,0,3,True,False,False,1
D Ground,289,76.3,21.833333333333336,0,Take small connecting roads,1,1,False,False,True,1
Ghulam Muhammad Abad,347,65.17,12.166666666666664,0,Take side streets via Millat Road,16,5,True,False,False,1
Madina Town,226,67.58,32.333333333333336,0,No change needed,2,1,True,False,False,1
Clock Tower,170,18.45,41.66666666666667,1,No change needed,17,2,True,False,False,0
People's Colony,264,25.55,26.0,1,"Avoid peak hours, use Jaranwala Road",19,4,True,False,False,1
Madina Town,357,74.51,10.5,0,Use Jaranwala Bypass,4,1,False,True,False,1
People's Colony,55,45.73,60.833333333333336,0,No change needed,4,6,False,False,False,0
People's Colony,25,55.14,65.83333333333333,0,No change needed,13,6,False,False,False,0
Kohinoor City,277,67.23,23.833333333333336,0,Divert via Satyana Road,14,3,False,False,True,1
People's Colony,395,79.7,5.0,0,"Avoid peak hours, use Jaranwala Road",20,5,False,False,True,1
Madina Town,114,35.98,51.0,0,No change needed,13,4,False,True,False,0
D Ground,247,24.28,28.833333333333336,1,No change needed,19,0,False,False,True,1
People's Colony,63,36.45,59.5,0,No change needed,15,4,False,False,True,0
Kohinoor City,290,17.27,21.666666666666664,0,Divert via Satyana Road,21,3,False,False,False,1
Kohinoor City,183,16.25,39.5,1,No change needed,19,1,False,False,True,0
D Ground,93,23.73,54.5,0,No change needed,13,6,True,False,False,0
Ghulam Muhammad Abad,122,66.41,49.66666666666667,0,No change needed,13,5,False,True,False,0
People's Colony,23,69.6,66.16666666666667,1,No change needed,17,2,False,False,False,0
D Ground,393,30.41,5.0,0,Take small connecting roads,0,4,False,False,True,1
Susan Road,177,23.75,40.5,1,No change needed,18,1,False,False,True,0
Kohinoor City,60,25.17,60.0,0,No change needed,4,4,True,False,False,0
Clock Tower,258,25.09,27.0,1,Use Circular Road alternative,17,5,False,False,False,1
Clock Tower,128,57.21,48.66666666666667,0,No change needed,14,3,False,False,True,0
Kohinoor City,147,57.52,45.5,0,No change needed,21,1,False,True,False,0
Canal Road,91,76.7,54.833333333333336,0,No change needed,4,1,False,False,False,0
Madina Town,170,77.72,41.66666666666667,0,No change needed,3,4,False,False,False,0
Kohinoor City,386,21.39,5.666666666666671,0,Divert via Satyana Road,15,0,False,False,False,1
Kohinoor City,274,57.7,24.333333333333336,1,Divert via Satyana Road,19,3,False,False,True,1
D Ground,309,29.86,18.5,0,Take small connecting roads,1,1,False,False,True,1
Madina Town,82,74.59,56.333333333333336,0,No change needed,22,4,False,True,False,0
Ghulam Muhammad Abad,95,44.28,54.166666666666664,0,No change needed,0,3,False,False,False,0
Clock Tower,200,54.11,36.666666666666664,0,No change needed,15,0,False,False,True,0
Kohinoor City,46,18.85,62.333333333333336,0,No change needed,1,4,False,False,True,0
Ghulam Muhammad Abad,372,57.86,8.0,0,Take side streets via Millat Road,1,5,False,False,False,1
Canal Road,287,22.33,22.166666666666664,1,Use Expressway,19,1,False,False,False,1
Canal Road,254,11.22,27.666666666666664,0,Use Expressway,15,4,False,True,False,1
D Ground,242,48.34,29.666666666666664,0,No change needed,20,4,False,False,True,1
Kohinoor City,240,74.72,30.0,1,No change needed,17,5,False,False,False,1
Canal Road,347,45.07,12.166666666666664,1,Use Expressway,17,0,True,False,False,1
Clock Tower,361,46.29,9.833333333333336,1,Use Circular Road alternative,18,5,False,False,True,1
Madina Town,148,37.56,45.33333333333333,0,No change needed,23,1,True,False,False,0
Canal Road,161,57.68,43.16666666666667,1,No change needed,18,3,False,False,False,0
Susan Road,145,75.05,45.83333333333333,0,No change needed,12,2,False,False,True,0
Ghulam Muhammad Abad,133,57.71,47.83333333333333,0,No change needed,23,2,False,False,False,0
Clock Tower,91,63.35,54.833333333333336,0,No change needed,1,3,False,True,False,0
Susan Road,102,60.73,53.0,0,No change needed,12,3,True,False,False,0
Clock Tower,95,27.55,54.166666666666664,0,No change needed,3,6,True,False,False,0
Susan Road,351,25.6,11.5,0,Use Madina Town Bypass,15,0,True,False,False,1
Madina Town,330,73.88,15.0,1,Use Jaranwala Bypass,19,4,False,True,False,1
D Ground,289,61.83,21.833333333333336,0,Take small connecting roads,16,3,False,False,True,1
Madina Town,171,73.32,41.5,1,No change needed,19,0,False,False,True,0
Ghulam Muhammad Abad,385,40.81,5.833333333333329,0,Take side streets via Millat Road,16,1,False,False,True,1
Clock Tower,305,75.7,19.166666666666664,1,Use Circular Road alternative,17,2,False,True,False,1
Kohinoor City,376,59.74,7.333333333333336,0,Divert via Satyana Road,2,3,False,False,False,1
Canal Road,369,46.38,8.5,1,Use Expressway,18,2,True,False,False,1
Clock Tower,120,10.86,50.0,0,No change needed,16,3,False,True,False,0
D Ground,393,11.25,5.0,0,Take small connecting roads,13,5,False,False,True,1
Kohinoor City,133,36.26,47.83333333333333,1,No change needed,18,1,False,True,False,0
Clock Tower,316,22.43,17.333333333333336,1,Use Circular Road alternative,19,6,False,False,True,1
People's Colony,123,21.07,49.5,0,No change needed,2,5,False,False,True,0
Clock Tower,164,32.83,42.66666666666667,0,No change needed,4,3,False,False,True,0
People's Colony,139,18.72,46.83333333333333,1,No change needed,17,3,False,False,True,0
Clock Tower,351,29.98,11.5,1,Use Circular Road alternative,19,5,False,False,False,1
People's Colony,102,42.36,53.0,1,No change needed,17,2,False,False,True,0
Canal Road,148,18.92,45.33333333333333,0,No change needed,20,2,True,False,False,0
Canal Road,182,35.34,39.66666666666667,0,No change needed,21,5,False,False,True,0
Kohinoor City,138,20.73,47.0,0,No change needed,22,0,False,True,False,0
Clock Tower,149,11.0,45.16666666666667,0,No change needed,1,6,True,False,False,0
Kohinoor City,68,35.71,58.666666666666664,0,No change needed,4,3,False,False,False,0
Madina Town,84,55.52,56.0,0,No change needed,13,1,False,False,True,0
Kohinoor City,255,68.44,27.5,0,Divert via Satyana Road,16,5,True,False,False,1
D Ground,117,17.0,50.5,1,No change needed,18,1,False,False,True,0
Clock Tower,30,29.66,65.0,0,No change needed,1,2,True,False,False,0
Susan Road,299,63.98,20.166666666666664,0,Use Madina Town Bypass,23,4,False,False,False,1
Canal Road,379,36.8,6.833333333333336,0,Use Expressway,2,0,False,False,True,1
Kohinoor City,327,14.18,15.5,1,Divert via Satyana Road,17,4,False,False,False,1
Susan Road,230,41.02,31.666666666666664,0,No change needed,15,4,True,False,False,1
Kohinoor City,284,56.36,22.666666666666664,0,Divert via Satyana Road,1,2,False,False,False,1
Canal Road,71,17.04,58.166666666666664,1,No change needed,19,4,True,False,False,0
D Ground,277,43.01,23.833333333333336,0,Take small connecting roads,1,5,False,True,False,1
D Ground,293,42.08,21.166666666666664,0,Take small connecting roads,4,1,True,False,False,1
People's Colony,185,41.19,39.16666666666667,0,No change needed,1,3,False,False,True,0
Clock Tower,298,21.05,20.333333333333336,0,Use Circular Road alternative,16,4,False,False,False,1
Canal Road,121,24.22,49.83333333333333,0,No change needed,20,5,True,False,False,0
Clock Tower,186,13.43,39.0,0,No change needed,16,6,True,False,False,0
People's Colony,254,42.3,27.666666666666664,0,"Avoid peak hours, use Jaranwala Road",3,6,False,False,True,1
People's Colony,335,27.48,14.166666666666664,0,"Avoid peak hours, use Jaranwala Road",4,3,True,False,False,1
D Ground,362,46.93,9.666666666666664,1,Take small connecting roads,18,4,False,False,True,1
People's Colony,275,50.07,24.166666666666664,0,"Avoid peak hours, use Jaranwala Road",4,5,False,True,False,1
Ghulam Muhammad Abad,355,31.89,10.833333333333336,0,Take side streets via Millat Road,21,4,False,True,False,1
D Ground,39,54.1,63.5,0,No change needed,12,0,False,False,False,0
Kohinoor City,144,72.27,46.0,0,No change needed,23,4,True,False,False,0
Madina Town,107,20.1,52.16666666666667,1,No change needed,18,4,False,False,True,0
Susan Road,232,58.38,31.333333333333336,1,No change needed,19,4,True,False,False,1
Ghulam Muhammad Abad,123,19.39,49.5,0,No change needed,0,4,False,False,True,0
D Ground,205,58.2,35.833333333333336,0,No change needed,14,4,False,True,False,0
Kohinoor City,174,28.61,41.0,0,No change needed,15,2,False,True,False,0
D Ground,80,14.67,56.666666666666664,0,No change needed,12,6,False,False,True,0
Clock Tower,144,19.7,46.0,0,No change needed,22,0,False,False,False,0
Canal Road,238,11.2,30.333333333333336,0,No change needed,15,0,True,False,False,1
Ghulam Muhammad Abad,258,43.2,27.0,1,Take side streets via Millat Road,17,4,True,False,False,1
D Ground,54,31.89,61.0,0,No change needed,0,4,False,False,False,0
Canal Road,301,11.69,19.833333333333336,1,Use Expressway,17,2,False,True,False,1
Madina Town,118,11.87,50.33333333333333,0,No change needed,21,5,False,False,True,0
Ghulam Muhammad Abad,208,34.06,35.333333333333336,0,No change needed,22,4,False,False,False,0
People's Colony,356,76.98,10.666666666666664,0,"Avoid peak hours, use Jaranwala Road",0,2,False,True,False,1
People's Colony,271,51.33,24.833333333333336,0,"Avoid peak hours, use Jaranwala Road",0,1,False,False,False,1
Ghulam Muhammad Abad,352,76.38,11.333333333333336,1,Take side streets via Millat Road,17,4,False,False,True,1
Clock Tower,85,30.17,55.833333333333336,0,No change needed,22,4,False,False,True,0
Ghulam Muhammad Abad,97,67.35,53.83333333333333,1,No change needed,19,1,True,False,False,0
Susan Road,125,15.54,49.16666666666667,0,No change needed,3,0,True,False,False,0
Canal Road,332,68.15,14.666666666666664,0,Use Expressway,23,5,False,True,False,1
D Ground,52,21.0,61.333333333333336,0,No change needed,1,0,False,False,True,0
D Ground,170,43.46,41.66666666666667,1,No change needed,19,0,False,True,False,0
Canal Road,279,54.58,23.5,0,Use Expressway,20,6,False,False,True,1
Kohinoor City,182,54.28,39.66666666666667,1,No change needed,17,0,False,False,True,0
Kohinoor City,73,15.11,57.833333333333336,0,No change needed,12,2,False,True,False,0
People's Colony,366,21.88,9.0,1,"Avoid peak hours, use Jaranwala Road",18,5,True,False,False,1
Ghulam Muhammad Abad,286,63.58,22.333333333333336,0,Take side streets via Millat Road,23,4,False,False,False,1
Canal Road,175,45.31,40.83333333333333,0,No change needed,3,6,False,True,False,0
D Ground,131,41.15,48.16666666666667,0,No change needed,12,6,True,False,False,0
Susan Road,294,25.99,21.0,0,Use Madina Town Bypass,15,3,False,False,False,1
People's Colony,75,14.5,57.5,1,No change needed,19,2,False,False,False,0
Clock Tower,346,54.14,12.333333333333336,1,Use Circular Road alternative,17,6,False,False,False,1
Canal Road,166,67.95,42.33333333333333,0,No change needed,4,1,False,True,False,0
Ghulam Muhammad Abad,277,15.56,23.833333333333336,0,Take side streets via Millat Road,0,4,False,False,False,1
People's Colony,162,73.54,43.0,0,No change needed,13,1,True,False,False,0
Madina Town,268,49.52,25.333333333333336,0,Use Jaranwala Bypass,21,2,False,False,False,1
People's Colony,227,70.14,32.166666666666664,1,No change needed,17,5,False,False,False,1
Clock Tower,290,24.23,21.666666666666664,0,Use Circular Road alternative,23,0,False,False,False,1
D Ground,286,57.0,22.333333333333336,0,Take small connecting roads,14,2,False,False,False,1
Clock Tower,284,27.17,22.666666666666664,0,Use Circular Road alternative,20,4,True,False,False,1
Madina Town,372,11.71,8.0,0,Use Jaranwala Bypass,20,0,False,True,False,1
D Ground,183,43.61,39.5,0,No change needed,13,2,False,False,False,0
Madina Town,228,63.53,32.0,0,No change needed,1,4,False,False,False,1
Kohinoor City,237,36.82,30.5,0,No change needed,23,6,True,False,False,1
Ghulam Muhammad Abad,314,46.24,17.666666666666664,0,Take side streets via Millat Road,16,5,False,False,False,1
Clock Tower,268,45.35,25.333333333333336,1,Use Circular Road alternative,17,1,True,False,False,1
Madina Town,49,51.31,61.833333333333336,0,No change needed,21,3,False,True,False,0
People's Colony,263,74.29,26.166666666666664,0,"Avoid peak hours, use Jaranwala Road",13,2,False,False,True,1
Madina Town,30,21.29,65.0,0,No change needed,2,5,False,True,False,0
Kohinoor City,217,24.22,33.833333333333336,0,No change needed,12,6,False,True,False,1
Ghulam Muhammad Abad,174,63.86,41.0,1,No change needed,18,5,True,False,False,0
Clock Tower,300,39.55,20.0,0,Use Circular Road alternative,16,1,True,False,False,1
Ghulam Muhammad Abad,159,13.12,43.5,0,No change needed,22,6,True,False,False,0
People's Colony,44,54.49,62.666666666666664,0,No change needed,16,2,False,True,False,0
D Ground,196,34.1,37.333333333333336,0,No change needed,13,1,True,False,False,0
Madina Town,75,58.43,57.5,0,No change needed,12,0,False,True,False,0
People's Colony,384,57.63,6.0,0,"Avoid peak hours, use Jaranwala Road",20,1,True,False,False,1
People's Colony,66,41.49,59.0,1,No change needed,17,6,False,True,False,0
Ghulam Muhammad Abad,250,43.19,28.333333333333336,0,No change needed,16,0,False,False,True,1
Kohinoor City,83,19.53,56.166666666666664,0,No change needed,20,0,True,False,False,0
Clock Tower,120,26.04,50.0,1,No change needed,17,2,False,True,False,0
Madina Town,256,26.38,27.333333333333336,0,Use Jaranwala Bypass,3,1,False,False,False,1
D Ground,384,61.76,6.0,0,Take small connecting roads,15,2,False,True,False,1
D Ground,209,26.13,35.166666666666664,0,No change needed,3,5,False,True,False,0
Ghulam Muhammad Abad,192,65.94,38.0,0,No change needed,13,6,False,True,False,0
Kohinoor City,59,35.41,60.166666666666664,0,No change needed,2,5,False,False,True,0
D Ground,206,78.4,35.666666666666664,0,No change needed,21,2,False,False,False,0
Clock Tower,240,59.69,30.0,0,No change needed,23,6,False,False,False,1
Madina Town,133,55.24,47.83333333333333,1,No change needed,19,3,False,False,False,0
Canal Road,86,17.91,55.666666666666664,0,No change needed,4,4,False,True,False,0
D Ground,303,40.44,19.5,0,Take small connecting roads,22,4,False,False,False,1
Ghulam Muhammad Abad,197,51.25,37.166666666666664,1,No change needed,19,2,True,False,False,0
People's Colony,138,19.89,47.0,0,No change needed,1,0,False,False,False,0
Canal Road,294,39.32,21.0,0,Use Expressway,20,6,False,False,True,1
Susan Road,224,28.72,32.666666666666664,0,No change needed,12,5,False,False,True,1
Canal Road,330,78.04,15.0,0,Use Expressway,20,5,True,False,False,1
Canal Road,297,11.39,20.5,1,Use Expressway,17,2,False,True,False,1
Ghulam Muhammad Abad,167,16.78,42.16666666666667,0,No change needed,12,2,False,True,False,0
Clock Tower,164,31.55,42.66666666666667,0,No change needed,2,6,False,False,False,0
Canal Road,366,54.1,9.0,0,Use Expressway,16,2,False,True,False,1
Canal Road,381,34.1,6.5,0,Use Expressway,21,5,True,False,False,1
Susan Road,152,50.69,44.66666666666667,0,No change needed,1,2,False,False,True,0
Kohinoor City,300,36.56,20.0,0,Divert via Satyana Road,16,0,False,False,True,1
People's Colony,208,24.94,35.333333333333336,0,No change needed,21,1,True,False,False,0
Clock Tower,116,56.46,50.66666666666667,0,No change needed,15,4,False,True,False,0
D Ground,220,66.76,33.333333333333336,0,No change needed,0,4,False,False,False,1
Clock Tower,308,39.13,18.666666666666664,1,Use Circular Road alternative,19,2,False,False,True,1
Canal Road,232,71.15,31.333333333333336,0,No change needed,21,3,False,True,False,1
Clock Tower,358,36.04,10.333333333333336,0,Use Circular Road alternative,4,1,True,False,False,1
Clock Tower,283,22.81,22.833333333333336,0,Use Circular Road alternative,15,2,False,False,True,1
Clock Tower,149,74.8,45.16666666666667,0,No change needed,23,5,False,False,False,0
Ghulam Muhammad Abad,393,57.55,5.0,1,Take side streets via Millat Road,19,2,False,False,False,1
Canal Road,332,48.27,14.666666666666664,0,Use Expressway,21,0,False,False,True,1
Clock Tower,298,13.23,20.333333333333336,0,Use Circular Road alternative,15,2,False,False,False,1
Madina Town,356,25.78,10.666666666666664,1,Use Jaranwala Bypass,19,6,False,True,False,1
